序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,301066,万事利,18.7,20.03,3.12,286162.0,505492742.8,20.03,18.7,15.58,15.58,15.58,2.25,15.16,77.33,5.26,3531311029.0,3530310224.0,0.0,0.0,25.5,36.5
2,301053,远信工业,32.66,19.99,5.44,78700.0,242228583.54,18.85,32.66,27.53,27.53,27.22,3.63,10.4,54.05,4.09,2691702510.0,2472125607.0,0.0,0.0,47.25,67.4
3,301317,鑫磊股份,32.7,19.82,5.41,295179.0,941144186.72,9.12,32.75,30.26,30.53,27.29,5.5,65.89,3.26,3.56,5140113000.0,1464960000.0,-0.15,0.0,61.24,64.4
4,873169,七丰精工,27.39,17.45,4.07,246252.0,653485758.29,28.73,30.31,23.61,26.0,23.32,3.1,48.46,254.87,7.06,2239006232.0,1391740406.0,-2.0,-5.42,92.89,106.25
5,871263,莱赛激光,23.24,17.14,3.4,161993.0,368664586.26,28.23,25.78,20.18,20.18,19.84,5.08,37.46,1595.08,5.32,1848548341.0,1004924140.0,-0.21,-0.64,23.29,60.06
6,300663,科蓝软件,18.83,13.98,2.31,1292073.0,2442962687.65,21.31,19.82,16.3,16.49,16.52,6.47,29.26,-391.24,11.91,9009101650.0,8315039468.0,0.0,0.21,-1.15,8.47
7,838262,DR太湖雪,27.28,11.85,2.89,98861.0,274791521.51,26.53,30.5,24.03,24.08,24.39,3.02,31.7,58.31,5.86,1885434967.0,850737903.0,-0.76,0.29,34.19,44.64
8,300962,中金辐照,16.69,11.42,1.71,161439.0,264177486.34,16.22,17.34,14.91,15.0,14.98,10.14,6.12,42.69,4.52,4406191661.0,4406191661.0,-0.06,0.18,7.75,-0.24
9,688552,航天南湖,34.11,11.11,3.41,443932.0,1470421667.0,22.83,36.84,29.83,31.0,30.7,3.95,52.85,50.81,4.4,11503529280.0,2865013237.0,0.03,-0.06,76.55,104.25
10,002689,远大智能,4.04,10.08,0.37,438254.0,173492222.28,11.99,4.04,3.6,3.68,3.67,2.34,4.2,-30.97,3.68,4214975329.0,4213362557.0,0.0,0.0,-0.74,15.76
11,600448,华纺股份,3.94,10.06,0.36,1021104.0,401885438.0,3.35,3.94,3.82,3.94,3.58,1.46,16.21,1307.15,2.06,2481489468.0,2481489468.0,0.0,0.0,37.28,48.68
12,605055,迎丰股份,6.35,10.05,0.58,172053.0,105660553.0,10.75,6.35,5.73,5.78,5.77,2.26,3.91,-70.83,2.42,2794000000.0,2794000000.0,0.0,0.0,15.66,29.07
13,002825,纳尔股份,10.96,10.04,1.0,370395.0,403380182.12,10.34,10.96,9.93,9.99,9.96,4.53,14.23,13.62,2.37,3748634289.0,2852580550.0,0.0,0.0,32.85,40.15
14,000559,万向钱潮,8.44,10.04,0.77,889678.0,734551769.7,8.74,8.44,7.77,7.86,7.67,1.64,2.69,23.77,2.95,27883998943.0,27883892979.0,0.0,0.0,32.5,37.24
15,000026,飞亚达,11.62,10.04,1.06,224436.0,259447602.52,5.11,11.62,11.08,11.53,10.56,4.94,6.15,26.02,1.37,4714977761.0,4238619533.0,0.0,0.0,12.05,12.05
16,002194,武汉凡谷,14.47,10.04,1.32,1281117.0,1751974403.72,13.69,14.47,12.67,13.15,13.15,1.4,25.08,322.6,3.97,9887145613.0,7392650288.0,0.0,0.0,21.8,28.97
17,000576,甘化科工,8.67,10.03,0.79,777663.0,654750774.93,11.68,8.67,7.75,7.85,7.88,7.39,17.92,129.76,2.34,3783745915.0,3761500213.0,0.0,0.0,10.17,19.42
18,002378,章源钨业,7.9,10.03,0.72,841659.0,644622230.85,9.61,7.9,7.21,7.21,7.18,3.0,7.04,55.74,4.36,9491199561.0,9441207714.0,0.0,0.0,15.16,22.1
