序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,833171,国航远洋,12.35,30.0,2.85,1229363.0,1354073705.8,34.63,12.35,9.06,9.5,9.5,3.19,42.84,-111.14,5.1,6859282045.0,3543689845.0,0.0,0.0,98.23,104.13
2,872351,华光源海,38.83,30.0,8.96,219781.0,731573208.28,36.59,38.83,27.9,28.77,29.87,2.2,62.33,80.22,7.45,3418416096.0,1369162846.0,0.0,0.0,175.19,276.99
3,832171,志晟信息,35.41,27.6,7.66,230951.0,752170792.3,33.05,36.07,26.9,27.75,27.75,3.06,35.03,-183.7,16.95,3549258851.0,2334475353.0,-1.53,-0.11,32.13,70.16
4,838163,方大新材,19.7,20.27,3.32,121179.0,214503238.98,29.43,20.79,15.97,16.47,16.38,3.01,19.74,53.65,5.32,2535688652.0,1209135470.0,-1.5,-1.45,39.72,40.81
5,300240,飞力达,9.82,20.05,1.64,1161941.0,1027632027.92,23.23,9.82,7.92,8.03,8.18,2.55,31.98,1521.44,2.53,3648748169.0,3568380592.0,0.0,0.0,52.01,49.47
6,300399,天利科技,25.44,20.0,4.24,453064.0,1103671715.23,21.7,25.44,20.84,21.15,21.2,4.58,22.93,105.32,9.5,5026944000.0,5026453644.0,0.0,0.0,1.84,3.58
7,300946,恒而达,70.56,20.0,11.76,114180.0,793036223.87,9.39,70.56,65.04,65.04,58.8,1.95,20.2,105.74,7.06,8467623360.0,3987416160.0,0.0,0.0,162.21,159.79
8,300845,捷安高科,17.7,20.0,2.95,360218.0,610808251.4,18.92,17.7,14.91,14.92,14.75,5.29,35.21,-95.0,3.11,2582303764.0,1810686530.0,0.0,0.0,29.2,38.17
9,301559,中集环科,18.62,19.97,3.1,318157.0,562574389.63,20.88,18.62,15.38,15.47,15.52,12.85,35.35,124.81,2.5,11172000000.0,1675800000.0,0.0,0.0,23.39,21.3
10,300879,大叶股份,45.9,18.91,7.3,426343.0,1809203632.51,21.97,46.21,37.73,37.96,38.6,1.13,21.21,11.96,6.64,9290106435.0,9227205763.0,0.77,0.92,170.48,192.73
11,300013,新宁物流,4.58,17.44,0.68,936353.0,400872479.71,20.51,4.67,3.87,3.91,3.9,3.09,20.99,110.34,12.37,2557283735.0,2042958762.0,-0.87,-0.87,37.13,31.99
12,300603,立昂技术,12.7,16.19,1.77,933787.0,1179908301.71,11.71,13.12,11.84,12.06,10.93,6.45,25.21,-64.77,4.1,5902937534.0,4704969267.0,-0.16,-0.78,-7.9,14.0
13,430564,天润科技,26.98,15.69,3.66,91371.0,239207983.02,20.54,27.98,23.19,23.47,23.32,3.38,27.05,-80.5,6.36,2007069666.0,911450690.0,0.3,0.26,24.33,87.36
14,301501,恒鑫生活,73.42,15.02,9.59,86044.0,597450976.89,18.28,75.67,64.0,64.0,63.83,1.42,35.58,22.87,3.69,7488840000.0,1775617326.0,-0.24,-0.08,83.92,83.92
15,836077,吉林碳谷,14.02,14.08,1.73,342489.0,472337022.53,16.68,14.49,12.44,12.47,12.29,5.45,10.81,87.66,3.33,8239299074.0,4443734574.0,-0.92,-1.06,24.73,25.63
16,301057,汇隆新材,18.0,13.21,2.1,175273.0,313187914.93,19.94,19.08,15.91,16.06,15.9,4.72,21.19,42.85,2.76,2113027884.0,1488590334.0,0.33,0.0,38.57,44.0
17,300085,银之杰,36.49,12.83,4.15,922311.0,3236706676.82,21.4,38.75,31.83,32.4,32.34,2.63,14.53,-251.61,49.66,25785313122.0,23166273476.0,-0.33,-0.16,-13.69,-4.6
18,873305,九菱科技,44.97,12.71,5.07,75760.0,329763960.49,17.29,46.5,39.6,39.99,39.9,1.26,20.88,116.27,8.7,2917101818.0,1631385279.0,-0.22,-0.51,80.6,139.71
19,873132,泰鹏智能,25.91,12.51,2.88,77123.0,184159491.78,26.53,27.88,21.77,22.75,23.03,2.43,27.42,51.27,8.13,2145969840.0,728672760.0,-1.11,-1.71,74.48,112.38
