序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,301007,德迈仕,27.3,20.0,4.55,220396.0,596849808.08,5.71,27.3,26.0,27.3,22.75,6.37,14.41,96.25,6.36,4186182000.0,4176722550.0,0.0,0.0,25.0,48.53
2,301075,多瑞医药,28.92,20.0,4.82,42164.0,115796848.8,19.05,28.92,24.33,24.39,24.1,4.72,5.27,-37.08,3.5,2313600000.0,2313600000.0,0.0,0.0,46.21,60.93
3,301137,哈焊华通,27.49,19.99,4.58,130277.0,343343349.32,18.29,27.49,23.3,23.39,22.91,2.37,12.81,203.17,3.67,4998050366.0,2795782482.0,0.0,0.0,50.38,57.36
4,300584,海辰药业,35.12,19.86,5.82,255005.0,873793246.13,16.25,35.16,30.4,30.4,29.3,4.76,31.05,70.07,4.06,4214400000.0,2883883050.0,-0.09,-0.09,73.69,74.21
5,430300,辰光医疗,22.61,18.69,3.56,158933.0,351468326.7,24.57,24.38,19.7,19.7,19.05,4.22,23.89,-56.54,8.84,1941003519.0,1504280742.0,0.27,-0.57,37.36,94.91
6,301501,恒鑫生活,92.26,17.38,13.66,54829.0,469816879.84,18.0,92.85,78.7,79.29,78.6,2.43,22.67,28.74,4.64,9410520000.0,2231251083.0,0.28,0.54,131.11,131.11
7,301277,新天地,14.65,14.99,1.91,363517.0,516622386.21,16.88,14.91,12.76,12.76,12.74,4.69,35.99,25.38,3.86,5743948560.0,1479919560.0,0.41,0.76,45.05,52.76
8,830946,森萱医药,13.23,13.95,1.62,193104.0,248290778.02,16.88,13.6,11.64,11.64,11.61,2.52,4.52,48.64,4.86,5648129638.0,5646393201.0,1.53,1.85,33.37,52.6
9,301209,联合化学,122.77,13.94,15.02,42091.0,499740730.82,15.73,124.99,108.04,108.04,107.75,3.64,17.18,148.43,13.16,9821600000.0,3007865000.0,0.02,-0.15,273.05,353.86
10,300353,东土科技,25.02,12.5,2.78,883956.0,2086235818.51,18.53,25.66,21.54,22.22,22.24,3.49,16.93,-77.1,7.28,15384619883.0,13065507726.0,0.08,0.12,90.27,117.94
11,836547,无锡晶海,27.93,12.48,3.1,48981.0,131873585.76,16.47,28.8,24.71,24.9,24.83,3.31,13.76,28.35,3.18,2169825840.0,994419720.0,-0.18,-0.25,51.38,78.58
12,301281,科源制药,36.43,11.65,3.8,89898.0,320127128.1,14.16,37.9,33.28,33.73,32.63,5.74,13.06,42.72,2.9,3945004700.0,2508278360.0,0.28,0.52,2.07,22.62
13,688557,兰剑智能,32.0,11.27,3.24,73992.0,226992047.0,17.32,33.3,28.32,28.68,28.76,3.34,7.24,497.08,2.79,3270655360.0,3270655360.0,-0.99,-2.94,40.78,66.93
14,300960,通业科技,24.52,10.9,2.41,68329.0,163528645.65,19.22,26.0,21.75,21.99,22.11,4.04,5.25,-318.27,6.18,3524263352.0,3191625032.0,-0.69,-0.12,50.52,38.69
15,600375,汉马科技,6.88,10.08,0.63,632302.0,429204769.0,9.6,6.88,6.28,6.28,6.25,6.52,5.81,234.48,3.33,11029131005.0,7483278029.0,0.0,0.0,11.69,24.86
16,688719,爱科赛博,35.59,10.05,3.25,44070.0,153808092.0,8.84,35.99,33.13,33.32,32.34,4.12,5.06,-48.77,2.43,4106567027.0,3102294101.0,0.51,0.25,3.37,25.76
17,002471,中超控股,4.71,10.05,0.43,2182724.0,1017486644.82,4.44,4.71,4.52,4.65,4.28,2.3,16.73,-79.65,3.73,6447990000.0,6146534754.0,0.0,0.0,76.4,72.53
18,002639,雪人股份,9.21,10.04,0.84,902110.0,821440634.0,10.04,9.21,8.37,8.37,8.37,3.05,13.87,178.6,2.87,7115666059.0,5991858433.0,0.0,0.0,18.99,34.45
