序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,涨停统计,振幅,所属行业
1,000826,启迪环境,7.456140041351318,2.45,2.51,1126635408,3491673749.55,3492115457.6000004,31.93903160095215,0.0,092500,7,3/2,6.5789475440979,环保行业
2,000903,云内动力,-0.5395683646202087,5.53,6.12,4978785280,10619046913.44,10782223499.04,43.67247009277344,-0.1805054098367691,092500,2,8/5,12.769783973693848,汽车零部
3,605005,合兴股份,-4.0,18.72,21.45,580776816,7506720000.0,7506720000.0,7.086453914642334,0.16051363945007324,092501,1,3/2,14.615385055541992,汽车零部
4,001230,劲旅环境,-0.626223087310791,25.39,28.11,820775824,1373033158.46,3389465902.83,55.4737434387207,-0.11801731586456299,093018,3,4/3,13.463796615600586,环保行业
5,300546,雄帝科技,19.882246017456055,26.47,26.5,2081885824,3551036130.45,4940167330.7699995,60.23683547973633,0.0,093036,6,2/1,9.057971000671387,计算机设
6,603390,通达电气,2.6195900440216064,18.02,19.32,1813498064,6302589875.3,6337129151.68,27.34139633178711,0.0,093038,10,8/6,9.054669380187988,汽车零部
7,600476,湘邮科技,-3.478686809539795,19.7,22.45,1073741152,3173079000.0,3173079000.0,31.104984283447266,-1.203610897064209,093050,1,2/1,13.620774269104004,软件开发
8,600650,锦江在线,4.115942001342773,17.96,18.98,1277712352,7014458947.0,9906917611.52,17.71906852722168,-0.11123470216989517,093209,3,2/1,8.0,铁路公路
9,600834,申通地铁,3.2474803924560547,9.22,9.82,578008048,4401461164.1,4401461154.88,12.682689666748047,-0.4319654405117035,093325,3,2/1,8.174692153930664,铁路公路
10,002550,千红制药,7.38161563873291,7.71,7.9,1426450960,7384172161.8,9867258000.0,19.200471878051758,0.2600780129432678,093345,5,0/0,10.027854919433594,化学制药
11,600192,长城电工,9.237874984741211,9.46,9.53,1019078944,4178936080.0000005,4178936080.0000005,24.876436233520508,-0.105596624314785,094733,4,5/3,13.625865936279297,电网设备
12,600658,电子城,4.298642635345459,4.61,4.86,427768480,5156677057.450001,5156677034.400001,8.048150062561035,0.0,094803,4,0/0,11.312217712402344,房地产服
13,002173,创新医疗,8.428030014038086,11.45,11.62,1355697744,4766685872.349999,5052705830.4,28.607418060302734,0.6151142716407776,095203,2,0/0,10.416666030883789,医疗服务
14,000953,河化股份,2.9887919425964355,8.27,8.83,917121248,3027830552.6499996,3027830527.8399997,29.617544174194336,0.0,095618,1,0/0,13.5740966796875,化学制药
15,603686,福龙马,8.776267051696777,17.6,17.8,2905262480,7311575110.400001,7311575040.000001,40.873817443847656,0.8018327951431274,102237,5,2/1,10.50679874420166,环保行业
16,688799,华纳药厂,14.007308006286621,46.8,49.26,793948000,6145776000.0,6145776000.0,12.996289253234863,-0.04271678626537323,105149,5,0/0,22.314250946044922,化学制药
17,301633,港迪技术,15.4727783203125,80.6,83.76,347677936,1121952000.0,4487808000.0,31.552642822265625,0.0,105815,1,0/0,21.14613151550293,通用设备
18,002345,潮宏基,4.575645923614502,14.17,14.91,1036731008,12285451852.05,12590225015.68,8.299278259277344,0.4964538812637329,110130,4,0/0,11.881918907165527,珠宝首饰
19,002773,康弘药业,8.113590240478516,31.98,32.54,710360208,21960016134.420002,29457516865.920002,3.2735705375671387,0.28222012519836426,110257,1,0/0,10.07437515258789,化学制药
20,603229,奥翔药业,6.227967262268066,9.04,9.36,434834688,7505886190.799999,7505886254.079999,5.7735466957092285,-0.11049723625183105,111445,2,0/0,10.340775489807129,化学制药
21,002734,利民股份,8.864602088928223,17.93,18.12,1580214208,6795611216.68,7552825454.24,24.09511375427246,-0.22259321808815002,132945,1,0/0,12.932604789733887,农药兽药
22,002465,海格通信,8.076008796691895,13.65,13.89,4140451392,33823159037.850002,33877033444.8,12.54444694519043,-0.14630578458309174,134518,2,0/0,10.847188949584961,通信设备
23,600495,晋西车轴,5.283757209777832,5.38,5.62,1110475360,6500066966.68,6500066934.4,17.506826400756836,-0.18552875518798828,135449,1,0/0,13.698630332946777,交运设备
