序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,000903,云内动力,10.0217866897583,5.05,123019404,9697321322.4,9846334298.4,1.2685916423797607,598617011,092500,092500,0,6/4,3,汽车零部
2,001230,劲旅环境,9.990530014038086,23.23,35682558,1256225296.22,3101114333.31,2.840458393096924,168715889,092500,092500,0,2/2,2,环保行业
3,002250,联化科技,9.985527992248535,7.6,1024988688,6889659585.599999,6926131712.0,14.961682319641113,37228600,092500,131739,6,1/1,1,农药兽药
4,603693,江苏新能,10.014410018920898,15.27,134062782,13612836687.6,13612836809.76,0.9848262071609497,163027284,092500,092500,0,2/2,2,电力行业
5,603390,通达电气,9.993108749389648,15.96,142051964,5582094029.400001,5612684864.64,2.544779062271118,194839695,092502,092502,0,6/5,3,汽车零部
6,603577,汇金通,10.00971794128418,11.32,768591328,3839054612.0,3839054657.28,20.269580841064453,15869508,092502,103219,10,3/3,3,电网设备
7,603639,海利尔,10.0,16.28,606097328,5533219310.08,5533544910.08,10.98387336730957,56522548,092502,110919,4,2/2,2,农药兽药
8,605388,均瑶健康,10.0130033493042,8.46,34535141,5080094640.000001,5080094640.000001,0.6798129677772522,313296066,092502,092502,0,3/3,3,食品饮料
9,603056,德邦股份,9.980806350708008,17.19,570601472,17530626519.72,17530626588.48,3.2595527172088623,214182311,092503,110836,2,2/2,2,物流行业
10,002973,侨银股份,9.975469589233398,13.45,82983439,2997991415.5,5496551889.599999,2.8023455142974854,142376320,093033,093033,0,1/1,1,环保行业
11,002829,星网宇达,10.010213851928711,21.54,222494986,3146183320.56,4476214346.76,7.133659839630127,158170115,093036,093036,0,1/1,1,通信设备
12,002277,友阿股份,10.016695022583008,6.59,456657088,9187598752.0,9187598752.0,4.99722146987915,352469445,093121,093121,0,1/1,1,商业百货
13,002366,融发核电,9.985315322875977,7.49,2934711360,9410918281.1,15586222983.52,31.548503875732422,329414349,093127,094109,2,4/4,4,电源设备
14,603518,锦泓集团,10.022026062011719,9.99,642589840,3437088810.66,3463392980.16,18.82032012939453,59797422,093129,110532,3,2/2,2,纺织服装
15,000826,启迪环境,10.106383323669434,2.07,121973696,2950108025.1299996,2950481223.3599997,4.1894097328186035,144076551,093239,093239,0,1/1,1,环保行业
16,300804,广康生化,20.0,34.38,370403632,945450000.0000001,2544120000.0,40.98716735839844,99130810,093445,130142,2,1/1,1,农药兽药
17,600678,四川金顶,9.961190223693848,8.5,444588080,2966415000.0,2966415000.0,15.144289016723633,87123283,093503,093921,1,1/1,1,水泥建材
18,605033,美邦股份,9.995306968688965,23.44,543679984,3169088000.0,3169088000.0,17.462087631225586,5714672,093537,134125,5,5/3,2,农药兽药
19,600192,长城电工,10.012360572814941,8.9,421744416,3931557200.0,3931557200.0,11.175030708312988,89176967,093637,093725,1,3/3,3,电网设备
20,601579,会稽山,10.017049789428711,25.81,1423030768,12374950586.289999,12374950560.48,11.663153648376465,79683213,093654,101057,3,6/4,3,酿酒行业
21,603006,联明股份,9.967584609985352,13.57,167981940,3450230172.5,3450230172.5,4.926583290100098,106241592,093801,094104,1,1/1,1,汽车零部
22,603839,安正时尚,9.959623336791992,8.17,136305868,3212055925.0,3261563347.2,4.385781288146973,101405345,094110,094110,0,1/1,1,纺织服装
23,603333,尚纬股份,9.96354866027832,9.05,1432054640,5624824653.3,5624824635.200001,25.91337013244629,56169901,094306,132112,4,5/5,5,电网设备
24,300815,玉禾田,20.0,22.32,1107022384,8634233802.24,8896573440.0,13.162609100341797,136245744,094312,130006,2,1/1,1,环保行业
25,600805,悦达投资,10.103093147277832,5.34,310294016,4540470465.12,4543776608.64,6.98335075378418,54737621,094358,095534,4,4/2,1,综合行业
26,605303,园林股份,9.980039596557617,11.02,107211464,1776836236.1599998,1776836236.1599998,6.182684421539307,111381344,095319,095319,0,1/1,1,工程建设
27,605167,利柏特,10.03752326965332,11.73,331255216,5267591100.0,5267591100.0,6.513061046600342,137194678,095351,095351,0,1/1,1,专用设备
28,605005,合兴股份,9.987592697143555,17.73,118985603,7109730000.0,7109730000.0,1.6858603954315186,126294336,100303,100303,0,1/1,1,汽车零部
29,600495,晋西车轴,10.06289291381836,5.25,782655664,6343002151.5,6343002120.0,12.760347366333008,125019231,101000,101433,1,1/1,1,交运设备
