日期,股票代码,股票名,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-05-19,873169,七丰精工,39.0,37.44,40.3,35.6,163921,617196332.14,12.3,-1.99,-0.76,32.26
2025-05-19,430425,乐创技术,34.3,34.5,35.6,34.0,37331,129754323.67,4.54,-2.1,-0.74,8.83
2025-05-19,301311,昆船智能,18.85,18.88,19.11,18.61,86110,162368847.0,2.64,-0.26,-0.05,9.87
2025-05-19,300946,恒而达,87.37,84.44,91.97,81.61,172703,1465517798.79,12.95,5.55,4.44,30.56
2025-05-19,302132,中航成飞,87.6,87.2,90.99,85.65,592846,5236484359.03,6.2,1.3,1.12,10.04
2025-05-19,300607,拓斯达,38.0,38.6,39.23,36.45,691546,2620897787.87,7.35,2.12,0.8,20.48
2025-05-19,300581,晨曦航空,16.71,15.63,16.77,15.01,991968,1554057000.5,10.8,-4.11,-0.67,18.03
2025-05-19,688552,航天南湖,36.0,35.2,37.6,34.5,247074,889214261.0,8.64,-1.95,-0.7,28.46
2025-05-19,688648,中邮科技,36.48,40.08,40.23,36.28,103457,393252578.0,10.97,11.33,4.08,15.64
2025-05-19,301302,华如科技,24.85,24.5,25.25,24.2,115870,284819917.1,4.21,-1.88,-0.47,13.75
2025-05-19,301662,宏工科技,70.6,69.01,71.5,66.0,41109,281492359.53,7.96,-0.17,-0.12,26.06
2025-05-19,871263,莱赛激光,23.08,22.69,23.2,22.23,39859,90778825.93,4.28,0.22,0.05,9.22
2025-05-19,833943,优机股份,23.67,23.85,24.14,23.2,29382,69795674.53,3.95,0.13,0.03,7.13
2025-05-19,300643,万通智控,20.27,19.25,20.35,19.14,138642,269027696.0,6.0,-4.51,-0.91,6.02
2025-05-19,688511,*ST天微,16.76,17.25,17.6,16.5,30582,52609079.0,6.65,4.23,0.7,2.97
2025-05-19,300949,奥雅股份,34.67,35.18,36.16,34.19,21854,76801393.0,5.65,0.86,0.3,6.37
2025-05-19,300726,宏达电子,35.35,35.46,35.76,34.58,74605,262163143.05,3.35,0.77,0.27,3.5
2025-05-19,688115,思林杰,48.05,45.43,49.05,44.08,20009,91964523.0,11.33,3.56,1.56,4.75
2025-05-19,833454,同心传动,17.38,17.25,17.74,17.07,44068,75986315.0,3.8,-2.04,-0.36,6.98
2025-05-19,300652,雷迪克,85.0,83.5,86.49,78.0,54891,451521135.19,10.03,-1.32,-1.12,5.96
2025-05-19,871753,天纺标,30.45,30.66,31.38,29.81,31626,96676058.83,5.33,4.11,1.21,10.05
2025-05-19,300587,天铁科技,5.4,5.55,5.7,5.33,362983,200703936.94,6.83,2.4,0.13,3.55
2025-05-19,301251,威尔高,34.53,34.6,34.86,33.77,40167,137572783.55,3.15,0.12,0.04,7.45
2025-05-19,688165,埃夫特-U,27.71,26.75,28.0,26.44,176604,477192639.0,5.63,-3.46,-0.96,3.38
2025-05-19,301325,曼恩斯特,58.49,57.53,58.5,56.51,42399,243666537.57,3.46,0.05,0.03,7.32
2025-05-19,688081,兴图新科,21.65,20.68,21.97,20.03,38018,79033099.0,8.8,-6.21,-1.37,3.69
2025-05-19,833171,国航远洋,12.99,13.45,14.44,12.61,976938,1335646655.34,14.18,4.18,0.54,34.05
2025-05-19,300866,安克创新,99.39,100.71,101.84,96.58,65343,647509346.96,5.3,1.45,1.44,2.2
2025-05-19,300609,汇纳科技,32.02,33.79,35.24,31.11,285632,966767413.94,14.06,15.05,4.42,23.82
2025-05-19,300328,宜安科技,12.54,11.84,12.54,11.55,1321278,1564032901.43,7.74,-7.43,-0.95,19.25
2025-05-19,301048,金鹰重工,10.01,10.09,10.1,9.97,81671,82103912.0,1.3,0.7,0.07,1.53
2025-05-19,300377,赢时胜,23.92,24.19,24.4,23.77,444445,1073845963.3,2.6,0.0,0.0,6.65
2025-05-19,688433,华曙高科,38.58,38.64,39.38,37.9,34703,133461122.0,3.83,0.05,0.02,1.72
2025-05-19,688297,中无人机,45.2,46.5,48.25,44.01,243539,1130614643.0,9.63,5.61,2.47,8.97
2025-05-19,838670,恒进感应,20.3,20.13,20.99,19.84,51897,104098898.85,5.6,-2.04,-0.42,7.86
2025-05-19,300923,研奥股份,24.46,24.31,24.55,23.92,23035,55684986.0,2.59,-0.08,-0.02,3.02
2025-05-19,301040,中环海陆,24.11,23.19,24.32,22.41,69767,160641809.76,7.88,-4.37,-1.06,7.4
2025-05-19,301255,通力科技,46.48,45.54,50.1,45.17,41814,194472300.3,10.6,-2.09,-0.97,15.37
2025-05-19,301225,恒勃股份,60.3,58.34,60.3,57.14,39117,226754188.0,5.23,-3.38,-2.04,12.96
2025-05-19,300907,康平科技,26.41,26.06,26.54,25.83,31670,82389490.0,2.68,-1.47,-0.39,3.3
2025-05-19,688228,开普云,63.35,64.3,65.19,63.01,25635,165360462.0,3.44,1.48,0.94,3.8
2025-05-19,301381,赛维时代,21.44,21.38,21.56,20.79,74543,157275758.48,3.57,-0.88,-0.19,3.88
2025-05-19,688598,金博股份,26.23,25.87,26.23,25.33,38482,98770829.0,3.45,-0.84,-0.22,1.88
2025-05-19,002471,中超控股,3.99,4.35,4.35,3.85,5433805,2230171955.81,12.66,10.13,0.4,41.64
2025-05-19,605055,迎丰股份,8.24,9.77,9.77,8.24,589455,550397379.0,17.23,10.02,0.89,13.4
2025-05-19,603291,联合水务,12.8,12.1,12.83,12.02,133577,162541327.0,6.45,-3.59,-0.45,10.28
2025-05-19,603028,赛福天,7.6,7.59,8.13,7.58,401351,312949956.0,7.41,2.29,0.17,13.98
