日期,指数代码,指数名称,指数英文名称,成分券代码,成分券名称,成分券英文名称,交易所,交易所英文名称
2025-05-30,000905,中证500,CSI 500,000009,中国宝安,"China Baoan Group Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2025-05-30,000905,中证500,CSI 500,000021,深科技,"Shenzhen Kaifa Technology Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2025-05-30,000905,中证500,CSI 500,000027,深圳能源,Shenzhen Energy Group Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2025-05-30,000905,中证500,CSI 500,000032,深桑达A,Shenzhen SED Industry Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2025-05-30,000905,中证500,CSI 500,000034,神州数码,"Digital China Group Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2025-05-30,000905,中证500,CSI 500,000039,中集集团,China International Marine Containers (Group) Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2025-05-30,000905,中证500,CSI 500,000050,深天马A,Tianma Microelectronics Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2025-05-30,000905,中证500,CSI 500,000060,中金岭南,Shenzhen Zhongjin Lingnan Nonfemet Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2025-05-30,000905,中证500,CSI 500,000066,中国长城,"CHINA GREATWALL TECHNOLOGY GROUP CO., LTD.",深圳证券交易所,Shenzhen Stock Exchange
2025-05-30,000905,中证500,CSI 500,000155,川能动力,SICHUAN NEW ENERGY POWER COMPANY LIMITED,深圳证券交易所,Shenzhen Stock Exchange
2025-05-30,000905,中证500,CSI 500,000400,许继电气,XJ Electric Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2025-05-30,000905,中证500,CSI 500,000401,冀东水泥,Tangshan Jidong Cement Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2025-05-30,000905,中证500,CSI 500,000403,派林生物,"Pacific Shuanglin Bio-pharmacy Co., LTD",深圳证券交易所,Shenzhen Stock Exchange
2025-05-30,000905,中证500,CSI 500,000423,东阿阿胶,Shandong Dong-Ee Jiao Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2025-05-30,000905,中证500,CSI 500,000426,兴业银锡,"INNER MONGOLIA XINGYE SILVER & TIN MINING CO.,LTD",深圳证券交易所,Shenzhen Stock Exchange
2025-05-30,000905,中证500,CSI 500,000513,丽珠集团,Livzon Pharmaceutical Group Inc,深圳证券交易所,Shenzhen Stock Exchange
2025-05-30,000905,中证500,CSI 500,000519,中兵红箭,"NORTH INDUSTRIES GROUP RED ARROW CO.,LTD",深圳证券交易所,Shenzhen Stock Exchange
2025-05-30,000905,中证500,CSI 500,000537,中绿电,"China Green Electricity Investment of Tianjin Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2025-05-30,000905,中证500,CSI 500,000539,粤电力A,Guangdong Electric Power Development Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2025-05-30,000905,中证500,CSI 500,000559,万向钱潮,Wanxiang Qianchao Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2025-05-30,000905,中证500,CSI 500,000563,陕国投A,"Shaanxi International Trust Co.,Ltd",深圳证券交易所,Shenzhen Stock Exchange
