日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,code,name
2025-05-07,873169,17.0,17.94,20.0,16.3,113561,202321362.15,22.77,10.4,1.69,22.35,873169,七丰精工
2025-05-07,300091,2.49,2.53,2.68,2.48,961397,244644728.0,8.13,2.85,0.07,6.8,300091,金通灵
2025-05-07,300032,4.66,4.93,5.38,4.56,970329,476868810.0,17.86,7.41,0.34,12.08,300032,金龙机电
2025-05-07,688556,9.09,8.94,9.17,8.91,87178,78680271.0,2.89,-0.78,-0.07,1.59,688556,高测股份
2025-05-07,688552,24.1,25.58,27.88,24.1,166766,426903465.0,16.13,9.13,2.14,19.85,688552,航天南湖
2025-05-07,301317,23.21,22.74,23.26,22.6,31069,70811697.0,2.87,-1.0,-0.23,6.94,301317,鑫磊股份
2025-05-07,300994,16.93,16.44,17.28,16.16,218574,361991479.0,6.55,-3.86,-0.66,18.74,300994,久祺股份
2025-05-07,302132,62.9,69.33,71.08,61.5,638443,4300197016.0,16.17,17.05,10.1,10.81,302132,中航成飞
2025-05-07,688448,28.77,28.13,29.62,27.55,17265,49231884.0,7.36,-0.04,-0.01,3.6,688448,磁谷科技
2025-05-07,300379,4.44,4.8,4.94,4.43,956621,442930636.0,11.56,8.84,0.39,18.16,300379,*ST东通
2025-05-07,300960,20.01,19.5,21.4,19.4,84584,169772058.0,10.19,-0.66,-0.13,6.5,300960,通业科技
2025-05-07,300581,10.2,11.66,11.66,10.1,876403,994794766.0,16.05,19.96,1.94,15.93,300581,晨曦航空
2025-05-07,300095,6.84,8.12,8.12,6.81,732623,575677278.0,19.35,19.94,1.35,21.63,300095,华伍股份
2025-05-07,871642,16.99,19.63,20.39,16.02,339687,644794595.84,27.85,25.11,3.94,33.73,871642,通易航天
2025-05-07,838810,21.93,21.12,22.59,20.45,118288,253834485.73,9.57,-5.59,-1.25,26.54,838810,春光智能
2025-05-07,300946,36.11,35.24,36.5,34.88,46354,164334841.0,4.45,-3.27,-1.19,8.2,300946,恒而达
2025-05-07,301209,85.42,92.7,92.92,85.33,58535,524739450.0,8.72,6.47,5.63,23.89,301209,联合化学
2025-05-07,300502,95.98,94.2,96.68,93.22,329912,3118432659.0,3.7,0.61,0.57,5.24,300502,新易盛
2025-05-07,300897,27.17,27.05,27.75,26.7,17504,47731353.0,3.89,0.22,0.06,2.78,300897,山科智能
2025-05-07,301302,21.5,21.68,22.33,21.29,76315,165823165.0,4.91,2.46,0.52,9.06,301302,华如科技
